cluster,age,hh,ct_ivh,ct_ich,sex,aneurysm_trt,aneurysm_circulation,mrs_adm,aneurysm_size,aneurysm_no,wfns,sedation_adm,paresis_adm,aphasia_adm,nimodipine,statin,mg,ct_modfisher,bmi,rr_map_mean,rr_syst_mean,rr_dia_mean,hb_mean,balance_mean,icp_7am_mean,icp_high_mean,evd_mean,ld_mean,age_sd,hh_sd,ct_ivh_sd,ct_ich_sd,sex_sd,aneurysm_trt_sd,aneurysm_circulation_sd,mrs_adm_sd,aneurysm_size_sd,aneurysm_no_sd,wfns_sd,sedation_adm_sd,paresis_adm_sd,aphasia_adm_sd,nimodipine_sd,statin_sd,mg_sd,ct_modfisher_sd,bmi_sd,rr_map_mean_sd,rr_syst_mean_sd,rr_dia_mean_sd,hb_mean_sd,balance_mean_sd,icp_7am_mean_sd,icp_high_mean_sd,evd_mean_sd,ld_mean_sd,HH_1.0,HH_2.0,HH_3.0,HH_4.0,HH_5.0,age_count,hh_count,ct_ivh_count,ct_ich_count,sex_count,aneurysm_trt_count,aneurysm_circulation_count,mrs_adm_count,aneurysm_size_count,aneurysm_no_count,wfns_count,sedation_adm_count,paresis_adm_count,aphasia_adm_count,nimodipine_count,statin_count,mg_count,ct_modfisher_count,bmi_count,rr_map_mean_count,rr_syst_mean_count,rr_dia_mean_count,hb_mean_count,balance_mean_count,icp_7am_mean_count,icp_high_mean_count,evd_mean_count,ld_mean_count
0,52.032786885245905,2.4754098360655736,0.45901639344262296,0.19672131147540983,0.3114754098360656,0.6065573770491803,0.819672131147541,0.9836065573770492,6.956990543708256,1.3278688524590163,2.6065573770491803,0.11475409836065574,0.2786885245901639,0.3114754098360656,1.0,0.14754098360655737,0.5245901639344263,3.3934426229508197,44.066181691782745,95.57513661202185,141.59806791569088,72.6097775175644,11.495861214602176,54.20979528006996,6.763587206110117,14.551905785620558,159.01618640090183,119.53044988828394,11.832113382816493,1.2329714429924858,0.5024529991884242,0.4008188340197078,0.46693981077355773,0.49256771191347104,0.38765090486637055,0.12803687993289598,3.3674344648765215,0.6511863910179592,1.7443115979720114,0.321370018085991,0.4520747556538116,0.46693981077355773,0.0,0.3575875451676364,0.5035393853198635,0.6131527412912752,24.168156207315015,8.008485774002583,11.349839306561414,7.897859756522027,1.7559341771933739,611.686100957288,2.3473630291963365,4.339585619924806,67.06583302424414,42.28162534091131,15,20,13,8,5,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
1,59.14102564102564,3.3333333333333335,0.7564102564102564,0.5384615384615384,0.3333333333333333,0.3333333333333333,0.9102564102564102,0.9102564102564102,6.76476816949268,1.4871794871794872,3.358974358974359,0.07692307692307693,0.2564102564102564,0.2948717948717949,0.9871794871794872,0.1282051282051282,0.4358974358974359,3.448717948717949,32.338604911738805,96.5334249084249,156.50189255189255,66.55247252747253,10.572371794871795,652.3790562651626,11.152647102938841,19.767813242674027,125.68195863923857,95.56020369452716,12.557115599577484,1.3926212476455826,0.4320262568949792,0.5017452060042544,0.47445571459117764,0.4744557145911778,0.28766401017607807,0.2876640101760781,3.6230077532261853,0.9361927560373858,1.7430705775426991,0.2681940937606045,0.4394771815921654,0.45893649955381693,0.11322770341445958,0.33648196566846383,0.4990834089450871,0.8775324894630795,17.303846297525574,7.123225549272002,8.597885618912803,8.727212543042175,1.3718882845061473,756.7846056528631,3.526870894262398,4.984190214691921,64.04305117392119,23.209843145292492,11,12,16,18,21,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
2,60.864197530864196,3.382716049382716,0.7283950617283951,0.41975308641975306,0.32098765432098764,0.5185185185185185,0.7777777777777778,0.9012345679012346,7.257014090118859,1.4938271604938271,3.5555555555555554,0.19753086419753085,0.49382716049382713,0.5308641975308642,0.9753086419753086,0.18518518518518517,0.6790123456790124,3.6419753086419755,30.781118297412117,92.18162845385068,142.21685773074663,67.18258377425045,10.351176513815403,682.8233476450088,6.093590214934406,14.247778009652679,127.42532356029312,102.39292263261645,11.840347425666776,1.4795937046582068,0.4475585346916184,0.49659333289081214,0.46976484792466006,0.5027701042999453,0.4183300132670378,0.3002056908023621,5.491740796460364,0.9236267751386845,1.7248188310660337,0.40061680838488767,0.5030769521187455,0.5021558461545187,0.15614965913950218,0.3908679799852858,0.46976484792466017,0.6578115606940305,15.564381649215099,11.004666964935868,15.764392241021211,10.717349359352193,1.1631472822724993,846.7483098699756,2.6189844299949265,5.848733582512286,69.7130608484982,17.299091844603502,11,16,14,11,29,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
3,47.88059701492537,2.462686567164179,0.43283582089552236,0.26865671641791045,0.2835820895522388,0.6268656716417911,0.8805970149253731,0.9701492537313433,7.364797546476508,1.2388059701492538,2.298507462686567,0.04477611940298507,0.14925373134328357,0.14925373134328357,1.0,0.1791044776119403,0.5223880597014925,3.3134328358208953,30.499111913945594,88.56062544420753,135.3818407960199,65.136460554371,11.394892324093817,474.83685662331686,10.34786611920257,19.653995066277144,137.266892406076,110.32498020076655,8.167790376728139,1.234950105837371,0.49920787547858875,0.4466063805620691,0.45413821648739866,0.48728751066093723,0.32670940009765015,0.17145979772029105,8.318520751359452,0.5529412330768475,1.4143734598875835,0.2083729044282493,0.3590277841567031,0.3590277841567031,0.0,0.38633370464312794,0.5032683769612477,0.7221381388853142,15.972232350795286,5.899524968565749,9.579372117304533,5.787317520388592,1.3086594707808743,665.3130466309236,3.0894316171849425,3.86680330369257,48.60089082499226,23.261546864081453,17,21,16,7,6,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
